DATE,SMU26114600500000003SA
2007-01-01,25.6419030738695
2007-02-01,25.861739625027198
2007-03-01,26.1529523249296
2007-04-01,26.3438643860632
2007-05-01,26.2337374750809
2007-06-01,26.6791594068084
2007-07-01,26.8093354249613
2007-08-01,26.314841509840804
2007-09-01,26.6281514509553
2007-10-01,26.5081518874008
2007-11-01,26.4601276905723
2007-12-01,26.303883620949
2008-01-01,26.2460071956901
2008-02-01,25.8924907265426
2008-03-01,25.783927241191396
2008-04-01,25.7385205038168
2008-05-01,25.5075907196701
2008-06-01,25.740318955041598
2008-07-01,25.607044021599698
2008-08-01,25.717051042024497
2008-09-01,25.2518347468541
2008-10-01,25.6455933330466
2008-11-01,26.068271026648397
2008-12-01,25.1915378738415
2009-01-01,24.2088352612357
2009-02-01,24.36771607688
2009-03-01,24.4585505907503
2009-04-01,24.228720823979103
2009-05-01,24.3952277142002
2009-06-01,24.0628394554316
2009-07-01,23.422380968737503
2009-08-01,23.7817100194663
2009-09-01,23.7314713892805
2009-10-01,23.7965830667381
2009-11-01,23.648047357179998
2009-12-01,23.9085937505555
2010-01-01,23.821028720455104
2010-02-01,23.715036380351
2010-03-01,23.605213212685598
2010-04-01,23.5489600799236
2010-05-01,23.772334744334398
2010-06-01,23.3780010180513
2010-07-01,23.352949684474897
2010-08-01,23.4007721969711
2010-09-01,23.651260462697703
2010-10-01,23.6954790684759
2010-11-01,23.527488405537802
2010-12-01,23.429770596438498
2011-01-01,23.3324114100225
2011-02-01,23.2223263776095
2011-03-01,23.6919218369768
2011-04-01,23.877587670159198
2011-05-01,24.1004134231098
2011-06-01,24.081840935469998
2011-07-01,24.319117313365197
2011-08-01,24.3062406420782
2011-09-01,24.4253831193158
2011-10-01,24.3795329933374
2011-11-01,24.7176382079821
2011-12-01,24.442675453245602
2012-01-01,25.0583321754957
2012-02-01,25.0665702490262
2012-03-01,24.9820226927215
2012-04-01,25.371142549542398
2012-05-01,25.232476715821
2012-06-01,25.2142107013203
2012-07-01,25.571020471500002
2012-08-01,25.237258044537
2012-09-01,26.1622781343347
2012-10-01,25.9414604419104
2012-11-01,25.996397093477697
2012-12-01,26.635247422649304
2013-01-01,25.9383305727881
2013-02-01,26.475112189060198
2013-03-01,26.107630655879397
2013-04-01,25.929342416728897
2013-05-01,25.7101204484178
2013-06-01,25.9482865619952
2013-07-01,25.7353223434511
2013-08-01,25.826027233642396
2013-09-01,25.542530162610802
2013-10-01,25.477644446156397
2013-11-01,25.6803873349405
2013-12-01,25.725438215084502
2014-01-01,27.291412023721104
2014-02-01,26.633672073570104
2014-03-01,27.7912596533531
2014-04-01,27.3715132454238
2014-05-01,27.2278486141037
2014-06-01,27.6593115664451
2014-07-01,27.691628609141897
2014-08-01,27.5489716208638
2014-09-01,26.8916865565293
2014-10-01,27.2092176366703
2014-11-01,27.324744543712896
2014-12-01,26.9483305677595
2015-01-01,26.840931790147
2015-02-01,26.9735259310047
2015-03-01,26.942719775865697
2015-04-01,26.7176453651086
2015-05-01,26.8727528858699
2015-06-01,26.889336056919397
2015-07-01,26.688333433372502
2015-08-01,27.153149932782195
2015-09-01,26.8869347788817
2015-10-01,26.9015304131139
2015-11-01,27.0118555413169
2015-12-01,27.5199071204756
2016-01-01,27.572112889966103
2016-02-01,27.4927736212769
2016-03-01,27.6566804791315
2016-04-01,27.5491300637851
2016-05-01,28.170061567313198
2016-06-01,27.9835805137534
2016-07-01,27.8712829356201
2016-08-01,27.8036167816396
2016-09-01,27.710975022168604
2016-10-01,27.8983192303782
2016-11-01,27.7196168265183
2016-12-01,27.7827336322997
2017-01-01,27.925737824535304
2017-02-01,27.8883090377225
2017-03-01,27.960428326038198
2017-04-01,27.900149479298896
2017-05-01,27.865779451100604
2017-06-01,27.549259038358898
2017-07-01,27.9172199888346
2017-08-01,27.573205673411003
2017-09-01,28.2736755090863
2017-10-01,28.7714090590487
2017-11-01,27.9759423681956
2017-12-01,27.731787607193198
2018-01-01,28.3723304108182
2018-02-01,28.195861699381105
2018-03-01,28.2943401195831
2018-04-01,28.9004429137069
2018-05-01,28.9279655424653
2018-06-01,29.1388906959696
2018-07-01,29.4693211261019
2018-08-01,29.685059851314502
2018-09-01,30.172037275191197
2018-10-01,30.502989848523
2018-11-01,30.7414575084136
2018-12-01,30.559913476700697
2019-01-01,30.346658950349603
2019-02-01,31.4113166171879
2019-03-01,31.1359209625706
